,gcm,period_scenario,temp_ch_ipcc
0,gfdl-esm4,1851-1870_hist,0.17140932839148626
1,gfdl-esm4,1901-1920_hist,0.41828904592916516
2,gfdl-esm4,1951-1970_hist,0.33228132614240835
3,gfdl-esm4,1995-2014_hist,0.8414670772057075
4,gfdl-esm4,2021-2040_ssp126,1.4337920686638101
5,gfdl-esm4,2041-2060_ssp126,1.6187499590526455
6,gfdl-esm4,2061-2080_ssp126,1.6700556874620256
7,gfdl-esm4,2081-2100_ssp126,1.6244765478705938
8,gfdl-esm4,2021-2040_ssp370,1.4285642277435224
9,gfdl-esm4,2041-2060_ssp370,1.989608082306824
10,gfdl-esm4,2061-2080_ssp370,2.7541617746400258
11,gfdl-esm4,2081-2100_ssp370,3.4723195577705015
12,gfdl-esm4,2021-2040_ssp585,1.4698026675789704
13,gfdl-esm4,2041-2060_ssp585,2.129116090090812
14,gfdl-esm4,2061-2080_ssp585,2.988039704331407
15,gfdl-esm4,2081-2100_ssp585,3.941455777498761
16,ipsl-cm6a-lr,1851-1870_hist,-0.19191308799513684
17,ipsl-cm6a-lr,1901-1920_hist,-0.2035287751312741
18,ipsl-cm6a-lr,1951-1970_hist,0.2428924638468245
19,ipsl-cm6a-lr,1995-2014_hist,0.8533128333724501
20,ipsl-cm6a-lr,2021-2040_ssp126,1.5767149666738982
21,ipsl-cm6a-lr,2041-2060_ssp126,1.989075593139547
22,ipsl-cm6a-lr,2061-2080_ssp126,2.1312082437512556
23,ipsl-cm6a-lr,2081-2100_ssp126,2.1112205610071575
24,ipsl-cm6a-lr,2021-2040_ssp370,1.6181636009792149
25,ipsl-cm6a-lr,2041-2060_ssp370,2.534826972372689
26,ipsl-cm6a-lr,2061-2080_ssp370,3.4531146835277164
27,ipsl-cm6a-lr,2081-2100_ssp370,4.617751368627421
28,ipsl-cm6a-lr,2021-2040_ssp585,1.6049100398432552
29,ipsl-cm6a-lr,2041-2060_ssp585,2.783937760024
30,ipsl-cm6a-lr,2061-2080_ssp585,4.1000984374950535
31,ipsl-cm6a-lr,2081-2100_ssp585,5.789305065981435
32,mpi-esm1-2-hr,1851-1870_hist,0.02337366134083141
33,mpi-esm1-2-hr,1901-1920_hist,0.041656085240949214
34,mpi-esm1-2-hr,1951-1970_hist,0.2930091464377781
35,mpi-esm1-2-hr,1995-2014_hist,0.8449393721041744
36,mpi-esm1-2-hr,2021-2040_ssp126,1.4091133592064624
37,mpi-esm1-2-hr,2041-2060_ssp126,1.5968309293557494
38,mpi-esm1-2-hr,2061-2080_ssp126,1.6356897319960124
39,mpi-esm1-2-hr,2081-2100_ssp126,1.599995843097294
40,mpi-esm1-2-hr,2021-2040_ssp370,1.4337793639013467
41,mpi-esm1-2-hr,2041-2060_ssp370,2.0326770724958196
42,mpi-esm1-2-hr,2061-2080_ssp370,2.6589609218682524
43,mpi-esm1-2-hr,2081-2100_ssp370,3.3945106517369252
44,mpi-esm1-2-hr,2021-2040_ssp585,1.4683031782943
45,mpi-esm1-2-hr,2041-2060_ssp585,2.0796527272630696
46,mpi-esm1-2-hr,2061-2080_ssp585,2.890346999580557
47,mpi-esm1-2-hr,2081-2100_ssp585,3.9307985395498966
48,mri-esm2-0,1851-1870_hist,0.13094821341725826
49,mri-esm2-0,1901-1920_hist,0.19247826621538267
50,mri-esm2-0,1951-1970_hist,0.3226520650757624
51,mri-esm2-0,1995-2014_hist,0.8622488867731387
52,mri-esm2-0,2021-2040_ssp126,1.6663243102999248
53,mri-esm2-0,2041-2060_ssp126,1.9362453323250088
54,mri-esm2-0,2061-2080_ssp126,2.031265990310364
55,mri-esm2-0,2081-2100_ssp126,1.887788259735827
56,mri-esm2-0,2021-2040_ssp370,1.6454888864292672
57,mri-esm2-0,2041-2060_ssp370,2.344955866490383
58,mri-esm2-0,2061-2080_ssp370,3.045613809191104
59,mri-esm2-0,2081-2100_ssp370,3.7514524972592094
60,mri-esm2-0,2021-2040_ssp585,1.8517349371995548
61,mri-esm2-0,2041-2060_ssp585,2.6270070847260714
62,mri-esm2-0,2061-2080_ssp585,3.4816859386434986
63,mri-esm2-0,2081-2100_ssp585,4.534325175502681
64,ukesm1-0-ll,1851-1870_hist,0.31309484226864115
65,ukesm1-0-ll,1901-1920_hist,0.2935288947717317
66,ukesm1-0-ll,1951-1970_hist,0.17742076968812726
67,ukesm1-0-ll,1995-2014_hist,0.9987673328754038
68,ukesm1-0-ll,2021-2040_ssp126,2.1161439039049705
69,ukesm1-0-ll,2041-2060_ssp126,2.6798350147960077
70,ukesm1-0-ll,2061-2080_ssp126,2.8914725925081113
71,ukesm1-0-ll,2081-2100_ssp126,2.9784826229935666
72,ukesm1-0-ll,2021-2040_ssp370,2.2633173796764643
73,ukesm1-0-ll,2041-2060_ssp370,3.3541200058275384
74,ukesm1-0-ll,2061-2080_ssp370,4.379976800532929
75,ukesm1-0-ll,2081-2100_ssp370,5.780495128134848
76,ukesm1-0-ll,2021-2040_ssp585,2.259732626133144
77,ukesm1-0-ll,2041-2060_ssp585,3.586967577513124
78,ukesm1-0-ll,2061-2080_ssp585,5.170543688749674
79,ukesm1-0-ll,2081-2100_ssp585,6.824361023524889
