,gcm,period_scenario,temp_ch_ipcc,region
0,gfdl-esm4,1851-1870_hist,0.1714093283914916,global
1,gfdl-esm4,1901-1920_hist,0.41828904592916694,global
2,gfdl-esm4,1951-1970_hist,0.33228132614240835,global
3,gfdl-esm4,1995-2014_hist,0.841467077205711,global
4,gfdl-esm4,2021-2040_ssp126,1.433792068663819,global
5,gfdl-esm4,2041-2060_ssp126,1.6187499590526544,global
6,gfdl-esm4,2061-2080_ssp126,1.6700556874620345,global
7,gfdl-esm4,2081-2100_ssp126,1.6244765478705956,global
8,gfdl-esm4,2021-2040_ssp370,1.4285642277435455,global
9,gfdl-esm4,2041-2060_ssp370,1.9896080823068312,global
10,gfdl-esm4,2061-2080_ssp370,2.754161774640024,global
11,gfdl-esm4,2081-2100_ssp370,3.472319557770507,global
12,gfdl-esm4,2021-2040_ssp585,1.4698026675789668,global
13,gfdl-esm4,2041-2060_ssp585,2.1291160900908226,global
14,gfdl-esm4,2061-2080_ssp585,2.988039704331423,global
15,gfdl-esm4,2081-2100_ssp585,3.9414557774987626,global
16,gfdl-esm4,1851-1870_hist,0.30233585592535406,global_glacier
17,gfdl-esm4,1901-1920_hist,0.6924114791681363,global_glacier
18,gfdl-esm4,1951-1970_hist,0.48414158384011163,global_glacier
19,gfdl-esm4,1995-2014_hist,0.9090781764171069,global_glacier
20,gfdl-esm4,2021-2040_ssp126,2.160954367861736,global_glacier
21,gfdl-esm4,2041-2060_ssp126,2.2556483343962572,global_glacier
22,gfdl-esm4,2061-2080_ssp126,2.455848134667919,global_glacier
23,gfdl-esm4,2081-2100_ssp126,2.37691364196656,global_glacier
24,gfdl-esm4,2021-2040_ssp370,1.847047142354434,global_glacier
25,gfdl-esm4,2041-2060_ssp370,2.786619272198182,global_glacier
26,gfdl-esm4,2061-2080_ssp370,4.340823699818843,global_glacier
27,gfdl-esm4,2081-2100_ssp370,5.45271943073675,global_glacier
28,gfdl-esm4,2021-2040_ssp585,2.124586876849385,global_glacier
29,gfdl-esm4,2041-2060_ssp585,3.0990841129307327,global_glacier
30,gfdl-esm4,2061-2080_ssp585,4.57387752763208,global_glacier
31,gfdl-esm4,2081-2100_ssp585,6.127598547820226,global_glacier
32,gfdl-esm4,1851-1870_hist,0.4252929664508588,RGI01_glacier
33,gfdl-esm4,1901-1920_hist,0.6719580054242743,RGI01_glacier
34,gfdl-esm4,1951-1970_hist,0.5403083215594494,RGI01_glacier
35,gfdl-esm4,1995-2014_hist,0.9904265216764389,RGI01_glacier
36,gfdl-esm4,2021-2040_ssp126,2.0228226437989734,RGI01_glacier
37,gfdl-esm4,2041-2060_ssp126,2.1079194932816834,RGI01_glacier
38,gfdl-esm4,2061-2080_ssp126,2.2294126810978625,RGI01_glacier
39,gfdl-esm4,2081-2100_ssp126,2.0224334274939753,RGI01_glacier
40,gfdl-esm4,2021-2040_ssp370,1.735053580664307,RGI01_glacier
41,gfdl-esm4,2041-2060_ssp370,2.4894773624113458,RGI01_glacier
42,gfdl-esm4,2061-2080_ssp370,3.6422054465035716,RGI01_glacier
43,gfdl-esm4,2081-2100_ssp370,4.653869502263375,RGI01_glacier
44,gfdl-esm4,2021-2040_ssp585,2.02470008923669,RGI01_glacier
45,gfdl-esm4,2041-2060_ssp585,2.727160776064052,RGI01_glacier
46,gfdl-esm4,2061-2080_ssp585,4.009850579749041,RGI01_glacier
47,gfdl-esm4,2081-2100_ssp585,5.239809335961495,RGI01_glacier
48,gfdl-esm4,1851-1870_hist,0.6691958755136557,RGI02_glacier
49,gfdl-esm4,1901-1920_hist,0.7713376660890404,RGI02_glacier
50,gfdl-esm4,1951-1970_hist,0.5732737322071287,RGI02_glacier
51,gfdl-esm4,1995-2014_hist,0.9710718038040725,RGI02_glacier
52,gfdl-esm4,2021-2040_ssp126,1.9055080115836276,RGI02_glacier
53,gfdl-esm4,2041-2060_ssp126,2.0887568498036773,RGI02_glacier
54,gfdl-esm4,2061-2080_ssp126,2.20698947501816,RGI02_glacier
55,gfdl-esm4,2081-2100_ssp126,2.0519051205351087,RGI02_glacier
56,gfdl-esm4,2021-2040_ssp370,1.6762824205807743,RGI02_glacier
57,gfdl-esm4,2041-2060_ssp370,2.3656923427487087,RGI02_glacier
58,gfdl-esm4,2061-2080_ssp370,3.2516836593292755,RGI02_glacier
59,gfdl-esm4,2081-2100_ssp370,4.09991082344237,RGI02_glacier
60,gfdl-esm4,2021-2040_ssp585,1.8391560281975003,RGI02_glacier
61,gfdl-esm4,2041-2060_ssp585,2.602646899568656,RGI02_glacier
62,gfdl-esm4,2061-2080_ssp585,3.6632445429186173,RGI02_glacier
63,gfdl-esm4,2081-2100_ssp585,4.7756954725000735,RGI02_glacier
64,gfdl-esm4,1851-1870_hist,0.38691196911000525,RGI03_glacier
65,gfdl-esm4,1901-1920_hist,0.901404023864271,RGI03_glacier
66,gfdl-esm4,1951-1970_hist,0.7228649543066609,RGI03_glacier
67,gfdl-esm4,1995-2014_hist,1.0016382858928354,RGI03_glacier
68,gfdl-esm4,2021-2040_ssp126,2.948142621820982,RGI03_glacier
69,gfdl-esm4,2041-2060_ssp126,3.0064455791761135,RGI03_glacier
70,gfdl-esm4,2061-2080_ssp126,3.4530699411040553,RGI03_glacier
71,gfdl-esm4,2081-2100_ssp126,3.3460367886223397,RGI03_glacier
72,gfdl-esm4,2021-2040_ssp370,2.390152342031194,RGI03_glacier
73,gfdl-esm4,2041-2060_ssp370,3.8254136593407155,RGI03_glacier
74,gfdl-esm4,2061-2080_ssp370,6.278376663215081,RGI03_glacier
75,gfdl-esm4,2081-2100_ssp370,7.903445011301974,RGI03_glacier
76,gfdl-esm4,2021-2040_ssp585,2.8579860688561434,RGI03_glacier
77,gfdl-esm4,2041-2060_ssp585,4.31091325347266,RGI03_glacier
78,gfdl-esm4,2061-2080_ssp585,6.469920891655408,RGI03_glacier
79,gfdl-esm4,2081-2100_ssp585,8.723392549443345,RGI03_glacier
80,gfdl-esm4,1851-1870_hist,0.396311464352162,RGI04_glacier
81,gfdl-esm4,1901-1920_hist,0.7362792605606511,RGI04_glacier
82,gfdl-esm4,1951-1970_hist,0.5415760135811399,RGI04_glacier
83,gfdl-esm4,1995-2014_hist,1.0750740791549296,RGI04_glacier
84,gfdl-esm4,2021-2040_ssp126,2.5809077418574295,RGI04_glacier
85,gfdl-esm4,2041-2060_ssp126,2.664741942830104,RGI04_glacier
86,gfdl-esm4,2061-2080_ssp126,2.9494415529930604,RGI04_glacier
87,gfdl-esm4,2081-2100_ssp126,2.7906605244161327,RGI04_glacier
88,gfdl-esm4,2021-2040_ssp370,2.1191434786468264,RGI04_glacier
89,gfdl-esm4,2041-2060_ssp370,3.3121349855469804,RGI04_glacier
90,gfdl-esm4,2061-2080_ssp370,5.048906952312364,RGI04_glacier
91,gfdl-esm4,2081-2100_ssp370,6.482482803340175,RGI04_glacier
92,gfdl-esm4,2021-2040_ssp585,2.560272210811447,RGI04_glacier
93,gfdl-esm4,2041-2060_ssp585,3.681824525210799,RGI04_glacier
94,gfdl-esm4,2061-2080_ssp585,5.4444839667723235,RGI04_glacier
95,gfdl-esm4,2081-2100_ssp585,7.19123603443699,RGI04_glacier
96,gfdl-esm4,1851-1870_hist,0.357203835099429,RGI05_glacier
97,gfdl-esm4,1901-1920_hist,0.808387632131475,RGI05_glacier
98,gfdl-esm4,1951-1970_hist,0.6181131101468927,RGI05_glacier
99,gfdl-esm4,1995-2014_hist,1.0279735861370876,RGI05_glacier
100,gfdl-esm4,2021-2040_ssp126,2.74651873147796,RGI05_glacier
101,gfdl-esm4,2041-2060_ssp126,2.8254692219068085,RGI05_glacier
102,gfdl-esm4,2061-2080_ssp126,3.189409980112498,RGI05_glacier
103,gfdl-esm4,2081-2100_ssp126,3.0630548087862755,RGI05_glacier
104,gfdl-esm4,2021-2040_ssp370,2.2431492288986616,RGI05_glacier
105,gfdl-esm4,2041-2060_ssp370,3.5595689135150215,RGI05_glacier
106,gfdl-esm4,2061-2080_ssp370,5.690813516084026,RGI05_glacier
107,gfdl-esm4,2081-2100_ssp370,7.182491004029367,RGI05_glacier
